id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,out,team,player,position,location,duration,related_events,match_id,possession_team_id,team_id,player_id,counterpress,block_offensive,block_deflection,block_save_block,under_pressure,off_camera
2d11e1a4-1a03-4c1c-b38f-4161c25ab377,64,1,00:01:43.049,1,43,Block,5,Argentina,Regular Play,True,Colombia,Jhon Andrés Córdoba Copete,Right Center Forward,"[49.1, 69.9]",0.0,['84c5b355-7f3e-4c89-928a-a914ade97648'],3943077,779,769,8817,,,,,,
84edf402-ad94-4514-9208-14fc8e28ae52,89,1,00:02:58.046,2,58,Block,8,Colombia,Regular Play,True,Argentina,Ángel Fabián Di María Hernández,Right Midfield,"[108.9, 66.5]",0.0,['a4f54e07-c9ef-4e91-9f1f-eb33dc1309bd'],3943077,769,779,2995,True,,,,,
9a34fb25-b0e4-48da-a0dc-9d1083ec08e2,108,1,00:03:38.024,3,38,Block,9,Colombia,From Goal Kick,,Colombia,Luis Fernando Díaz Marulanda,Left Center Forward,"[57.8, 16.1]",0.0,['e4a5d809-e153-4e46-b7df-7dee12caae1f'],3943077,769,769,27158,,,,,,
4e7c371a-2d76-4b9b-96e5-6c625440e0cc,165,1,00:04:26.781,4,26,Block,10,Argentina,Regular Play,,Argentina,Julián Álvarez,Left Center Forward,"[82.0, 55.7]",0.0,['18a07e74-e82a-4ca6-a140-d670e197d08c'],3943077,779,779,29560,,True,,,,
6069b56a-78d8-4e80-96a8-dd3b087a0e85,325,1,00:07:57.299,7,57,Block,16,Colombia,Regular Play,True,Argentina,Alexis Mac Allister,Left Midfield,"[68.5, 5.3]",0.0,['310160d4-a136-48f4-9195-1fbbef606e3c'],3943077,769,779,27886,,,,,,
b9f465f2-f912-4db8-a43d-8927953f9ef6,785,1,00:18:58.472,18,58,Block,33,Argentina,From Throw In,True,Colombia,Jhon Adolfo Arias Andrade,Left Center Midfield,"[65.6, 5.7]",0.0,['dd205915-07ed-4075-b004-85e1aca6bb3a'],3943077,779,769,27277,,,,,,
df5fba53-a45b-479f-a0f9-0f2ee3d0f4df,795,1,00:19:10.839,19,10,Block,34,Argentina,From Throw In,,Colombia,Johan Andrés Mojica Palacio,Left Back,"[49.5, 2.4]",0.0,['ece9cc4f-fca3-4538-9cdc-6d5a36a176dc'],3943077,779,769,5691,,,,,,
72b0f49f-cd54-483a-86b2-fe69af510ae7,829,1,00:19:44.092,19,44,Block,34,Argentina,From Throw In,,Argentina,Julián Álvarez,Left Center Forward,"[112.1, 36.8]",0.0,['970398e3-c3cc-4d21-b0fc-4f113a555755'],3943077,779,779,29560,,True,,,,
02747047-1c5b-4d9f-b776-1e0918df71c0,1091,1,00:24:51.675,24,51,Block,45,Colombia,Regular Play,,Argentina,Lisandro Martínez,Left Center Back,"[11.1, 41.2]",0.0,['95ea28e2-8fe9-4264-bdf3-f77de2089b25'],3943077,769,779,27768,,,,,,
01b6b277-1ed3-47f2-827a-f6a6d734d0a4,1093,1,00:24:53.896,24,53,Block,45,Colombia,Regular Play,True,Colombia,Jhon Andrés Córdoba Copete,Right Center Forward,"[106.3, 33.5]",0.0,,3943077,769,769,8817,,,,,,
2b2f21c1-ffa7-4b10-95d6-172fc21fc92c,1330,1,00:33:15.605,33,15,Block,55,Colombia,From Corner,,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[6.8, 37.9]",0.0,['f80a63b3-c4a6-4a9a-bab2-2ebce16edf7d'],3943077,769,779,5507,,,,,,
54ba0177-d77f-4326-9d94-4f6d32b406ad,1357,1,00:34:29.966,34,29,Block,56,Argentina,From Free Kick,,Colombia,Jefferson Andrés Lerma Solís,Center Defensive Midfield,"[37.1, 21.2]",0.0,['7df316d2-92ac-4345-a4f4-3252a313f842'],3943077,779,769,5678,,,,,,
ae921dfa-c628-441a-9f8a-f9e62d506499,1392,1,00:34:57.556,34,57,Block,56,Argentina,From Free Kick,,Colombia,Jefferson Andrés Lerma Solís,Center Defensive Midfield,"[26.7, 52.2]",0.0,['7b566ed0-0f23-4337-8eb6-5c20bdb8aff8'],3943077,779,769,5678,,,,,,
