id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,possession_team_id,team_id,player_id,counterpress,off_camera,under_pressure,x,y,50_50,out,duel_outcome,duel_type,block_offensive,block_deflection,block_save_block,interception_outcome,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_committed_penalty,foul_committed_offensive
069bb7bb-7741-4ae2-8732-0cda0080aeeb,155,1,00:04:16.923,4,16,Pressure,10,Argentina,Regular Play,Argentina,Enzo Fernandez,Left Defensive Midfield,"[19.3, 40.4]",1.292566,"['2564fdf6-b52e-4a96-9604-4930996a45aa', 'fac5eca3-a8d0-4b0c-9d95-3fff0876fb22']",3943077,779,779,38718,True,,,19.3,40.4,,,,,,,,,,,,,
5aa0cbc7-79c7-4500-ba2b-07acf9a357b5,256,1,00:06:50.073,6,50,Pressure,16,Colombia,Regular Play,Argentina,Enzo Fernandez,Left Defensive Midfield,"[14.6, 24.7]",0.419839,"['39730f2f-66a5-4f38-8bd7-51c06e5fba0a', 'a9ac6a7d-7a16-421d-8463-da7ef9cb7639']",3943077,769,779,38718,True,,,14.6,24.7,,,,,,,,,,,,,
db530181-91eb-4be6-8add-e256cdc68262,388,1,00:09:43.188,9,43,Pressure,20,Argentina,Regular Play,Colombia,Carlos Eccehomo Cuesta Figueroa,Left Center Back,"[45.4, 45.6]",0.387322,"['86a376b8-925e-4552-911a-9fbc8519fabb', 'a79b31a5-23be-4577-8a0e-329f61b03133']",3943077,779,769,28567,True,,,45.4,45.6,,,,,,,,,,,,,
14c1d42a-6072-40ec-9846-58a59a9085fd,532,1,00:13:00.132,13,0,Pressure,26,Colombia,Regular Play,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,"[86.1, 51.6]",0.711835,"['518ecc4f-80a5-47ee-a675-6234b1065296', 'fa64de94-3629-4eed-871a-eb23f6fdb50f']",3943077,769,779,5503,True,,,86.1,51.6,,,,,,,,,,,,,
f5941d03-5567-42f3-915c-78dbc1d2f6dc,534,1,00:13:00.577,13,0,Pressure,26,Colombia,Regular Play,Argentina,Julián Álvarez,Left Center Forward,"[82.4, 47.2]",0.3,,3943077,769,779,29560,True,,,82.4,47.2,,,,,,,,,,,,,
7e1aa992-d899-48cc-9188-04bf4fa9dbfb,537,1,00:13:02.798,13,2,Pressure,26,Colombia,Regular Play,Argentina,Julián Álvarez,Left Center Forward,"[78.6, 39.5]",1.118005,['87336d93-3e46-46be-a1ca-4bc4cfc8c271'],3943077,769,779,29560,True,,,78.6,39.5,,,,,,,,,,,,,
0aa17ed2-4cbe-471c-8daf-a531c766d535,576,1,00:13:53.957,13,53,Pressure,27,Argentina,Regular Play,Argentina,Enzo Fernandez,Left Defensive Midfield,"[32.1, 30.5]",0.972786,"['0cd895cd-2796-442c-b631-c1385879bcae', '68a3a416-4c8a-46a0-96e5-ddf8acce8db0', '78bf9e0f-c7b6-4d8c-b2ad-3a34953b7140']",3943077,779,779,38718,True,,,32.1,30.5,,,,,,,,,,,,,
60845f39-9756-4029-8740-d786e9b8e0ec,851,1,00:20:26.580,20,26,Pressure,36,Argentina,Regular Play,Colombia,Luis Fernando Díaz Marulanda,Left Center Forward,"[82.3, 8.6]",0.582985,"['3f6fb36c-0de8-4fa5-840c-1fbf11f6705b', '45f29b3c-e0c0-49c6-8d0b-92b5feb8a311']",3943077,779,769,27158,True,,,82.3,8.6,,,,,,,,,,,,,
1feab5de-99fe-47be-8ea4-1712e3593657,907,1,00:21:43.831,21,43,Pressure,38,Colombia,Regular Play,Colombia,Santiago Arias Naranjo,Right Back,"[54.6, 66.4]",0.394132,"['499ac651-e685-4e2c-a917-b511b2ae88d7', 'f4353b02-0c95-42e1-a376-d675ec41e9d5']",3943077,769,769,5696,True,,,54.6,66.4,,,,,,,,,,,,,
ab6e0d71-8ef9-42dc-b22a-0792343e42d1,1020,1,00:23:55.138,23,55,Pressure,44,Argentina,Regular Play,Colombia,Jhon Adolfo Arias Andrade,Left Center Midfield,"[64.2, 37.3]",0.460008,"['a2174154-c5ae-4801-b66c-7ef09475d745', 'db4f957e-a47a-474e-b137-71a6cccd5a17']",3943077,779,769,27277,True,,,64.2,37.3,,,,,,,,,,,,,
dc7989eb-a1e7-4f7d-8a34-c92ca4e3d306,1023,1,00:23:55.380,23,55,Pressure,44,Argentina,Regular Play,Colombia,Jefferson Andrés Lerma Solís,Center Defensive Midfield,"[64.4, 39.0]",0.46084,"['a2174154-c5ae-4801-b66c-7ef09475d745', 'dfd36e52-db86-4150-a097-943ece7baff0']",3943077,779,769,5678,True,,,64.4,39.0,,,,,,,,,,,,,
880335d6-0ff5-4f48-a875-db9cb308a7d5,1098,1,00:25:32.701,25,32,Pressure,47,Colombia,Regular Play,Argentina,Julián Álvarez,Left Center Forward,"[98.1, 20.8]",1.991173,"['a0bafefa-518f-4280-9c80-e3ac738f41b9', 'a291fb62-1cbb-4c57-a6c5-a161a703f922']",3943077,769,779,29560,True,,,98.1,20.8,,,,,,,,,,,,,
eae0ad99-3d13-4a84-a746-9fe3b8dcc507,1257,1,00:31:05.995,31,5,Pressure,50,Argentina,Regular Play,Colombia,Jhon Andrés Córdoba Copete,Right Center Forward,"[91.7, 34.0]",0.732796,"['a80f9f9c-23d8-4452-8064-b1716a09fbfa', 'd3f6560f-44b9-4226-9ef7-6d2e3b0d7a2a']",3943077,779,769,8817,True,,,91.7,34.0,,,,,,,,,,,,,
13c4f77b-1ba0-48dd-8fdb-d78d75ba71c2,1266,1,00:31:12.950,31,12,Pressure,51,Colombia,Regular Play,Argentina,Rodrigo Javier De Paul,Right Midfield,"[48.4, 71.6]",0.601893,"['231f4752-a0e9-4c1d-9918-51591b0927df', '8a92b8df-5d95-43ae-8c08-ff299696653e']",3943077,769,779,7797,True,,,48.4,71.6,,,,,,,,,,,,,
fdb0d575-315d-4788-8d46-dd15e912183c,1273,1,00:31:15.550,31,15,Pressure,51,Colombia,Regular Play,Argentina,Enzo Fernandez,Right Defensive Midfield,"[45.7, 57.4]",1.15473,"['1f1607e1-cfbf-4d3d-8182-1ab4e6408f15', '57a0df04-ef6f-49ef-8204-98618aa321f1', 'bb9467d2-232a-44e1-b502-595d9f5abc4a', 'dc26c9a2-237d-493c-a995-fd6ca28feb59']",3943077,769,779,38718,True,,,45.7,57.4,,,,,,,,,,,,,
71dac574-69f3-4d95-a05d-3f50726a81ec,1289,1,00:31:25.836,31,25,Pressure,52,Argentina,Regular Play,Colombia,Santiago Arias Naranjo,Right Back,"[68.0, 66.2]",0.973334,['24b13cfd-1056-42a1-9011-d01dc5aa7e3c'],3943077,779,769,5696,True,,,68.0,66.2,,,,,,,,,,,,,
1b2077ff-5494-4834-b491-e4a8c0ae6ac3,1290,1,00:31:27.259,31,27,Pressure,52,Argentina,Regular Play,Colombia,James David Rodríguez Rubio,Center Attacking Midfield,"[66.8, 67.0]",1.41101,,3943077,779,769,5695,True,,,66.8,67.0,,,,,,,,,,,,,
5854a550-b8f2-4e53-8c9a-e8d09762c92a,1486,1,00:39:00.899,39,0,Pressure,59,Colombia,Regular Play,Argentina,Julián Álvarez,Left Center Forward,"[56.1, 46.7]",1.046324,['2f68ec41-a0f9-4d23-8f05-b2698157d8c0'],3943077,769,779,29560,True,,,56.1,46.7,,,,,,,,,,,,,
