id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,possession_team_id,team_id,player_id,counterpress
19fc6f2d-c601-4927-aacc-65387023cba7,76,1,00:02:04.248,2,4,Dribbled Past,6,Argentina,From Throw In,Colombia,Santiago Arias Naranjo,Right Back,"[8.3, 66.4]",0.0,"['9eabde45-32eb-4ce7-96ba-0f750df4b904', 'b6473715-c67b-48b6-ae0d-142a2adc5b6f', 'fa324dd5-7153-4150-a90a-71dce5a24d12']",3943077,779,769,5696,
2631c226-d467-440a-8440-d26d4ef74ec9,221,1,00:06:00.042,6,0,Dribbled Past,14,Colombia,From Throw In,Argentina,Julián Álvarez,Left Center Forward,"[51.0, 5.8]",0.0,"['6868d9e8-1429-42fc-ac1f-2c54979fddb9', 'f00a769c-5359-4f4a-82e8-56c4ae499971']",3943077,769,779,29560,
88c3b94f-fdf6-40a8-90c2-da9e6c57e5d8,609,1,00:15:35.621,15,35,Dribbled Past,29,Argentina,From Keeper,Colombia,Richard Rios Montoya,Right Center Midfield,"[36.6, 72.6]",0.0,"['6ca58179-27e7-4463-9d69-4e053b79e42b', 'b0f71a81-e744-44bc-9403-05b392762ec2']",3943077,779,769,49395,
ab533b9b-2cc8-4b82-a283-e9b76ae274cf,1101,1,00:25:34.873,25,34,Dribbled Past,47,Colombia,Regular Play,Argentina,Julián Álvarez,Left Center Forward,"[97.9, 5.8]",0.0,"['0f8e4f27-49a0-44cd-8748-20006258adff', '2e321c54-b5bd-46f6-bea0-9be78c49c4ff', 'a291fb62-1cbb-4c57-a6c5-a161a703f922']",3943077,769,779,29560,True
f4b3d299-a633-4b2f-b8a1-27da6ceefd9a,1156,1,00:26:17.956,26,17,Dribbled Past,47,Colombia,Regular Play,Argentina,Ángel Fabián Di María Hernández,Left Midfield,"[24.4, 4.3]",0.0,"['47ed8903-d261-497d-b546-86390f26c362', 'bbf8acf5-65e1-486f-9991-2d141d053be7']",3943077,769,779,2995,
74ea943c-4d50-4b28-93f7-8a4f676a7556,1346,1,00:34:24.561,34,24,Dribbled Past,56,Argentina,From Free Kick,Colombia,Jhon Adolfo Arias Andrade,Left Center Midfield,"[36.8, 8.6]",0.0,"['58c20e96-6758-40b5-9528-9a0bde84934e', '876f90e1-aaed-4623-8cf7-a957b9f2b21e']",3943077,779,769,27277,
ed41d926-4aee-4356-ad93-f3bb5c1aaddf,1602,1,00:41:15.590,41,15,Dribbled Past,63,Argentina,From Keeper,Argentina,Enzo Fernandez,Right Defensive Midfield,"[67.6, 52.0]",0.0,['14e2f769-7a5a-4a41-bba5-2676f478cce3'],3943077,779,779,38718,True
85f2baa6-10d7-4cc3-a434-fda4bae23dca,1923,2,00:02:59.241,47,59,Dribbled Past,75,Argentina,From Goal Kick,Colombia,Santiago Arias Naranjo,Right Back,"[14.5, 39.6]",0.0,"['a34b4756-ac18-400a-b05c-aafc2b78359f', 'f91c5daa-7acb-4e91-a3ad-f7316d5d71d1']",3943077,779,769,5696,
5c72c75a-d0bd-43ce-b196-a547c711c27a,2523,2,00:24:39.808,69,39,Dribbled Past,107,Argentina,From Free Kick,Colombia,Johan Andrés Mojica Palacio,Left Back,"[11.8, 9.8]",0.0,['86ef4caf-6050-43e2-bdbf-8e3f8e7cb29a'],3943077,779,769,5691,
8ab44612-153c-4721-b93a-e3b5c18fb9a4,2547,2,00:26:49.446,71,49,Dribbled Past,108,Colombia,From Free Kick,Argentina,Rodrigo Javier De Paul,Right Center Midfield,"[32.6, 71.6]",0.0,"['3b760273-88d4-4a2e-8e1b-3cdeaa0d024e', 'f78d0d0a-6b1f-4639-a548-5007391f54e4', 'fe57ab61-ddcb-4812-bee6-2237f42583d2']",3943077,769,779,7797,
625131e4-3982-48eb-b086-2ac5f10d54d9,2905,2,00:41:57.033,86,57,Dribbled Past,131,Argentina,Regular Play,Colombia,Luis Fernando Díaz Marulanda,Left Center Forward,"[47.0, 5.1]",0.0,"['4d1d2451-41a7-49a5-b4e1-9938a68acb0d', 'ff574f64-ee3d-4399-a5e7-99303abb6a2c']",3943077,779,769,27158,
cb31729c-3f66-40fd-adaa-2fee7a54684e,3105,2,00:48:32.757,93,32,Dribbled Past,141,Colombia,Regular Play,Argentina,Nahuel Molina Lucero,Right Back,"[38.5, 73.3]",0.0,"['8eab0c55-3b72-435c-b225-7eaf102e3131', 'ee541bdb-6e80-4b60-8ef8-60ea26fe7a64']",3943077,769,779,29201,
9570b97a-adfa-46b2-af6a-078c8814dba1,3147,3,00:00:25.902,90,25,Dribbled Past,143,Argentina,From Kick Off,Colombia,Rafael Santos Borré Amaury,Right Center Forward,"[29.4, 9.6]",0.0,"['0639a9d1-4571-47d0-b10c-8bd44a747bfe', 'a04ee1ab-8c2f-460c-bf5d-fb36616b30ad']",3943077,779,769,28266,
023b69b9-fc46-4dc7-89a3-05a247f0e4b3,3327,3,00:05:05.169,95,5,Dribbled Past,155,Colombia,From Keeper,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[28.9, 29.1]",0.0,"['0f54a76c-aef4-47b2-9acc-cf692efb6ad9', '779a4b63-a1a4-4353-93e1-33ea08d4d47a']",3943077,769,779,5507,
d0a6b186-442e-464b-973a-bff53db316c6,3515,3,00:12:47.494,102,47,Dribbled Past,170,Argentina,From Throw In,Colombia,Jefferson Andrés Lerma Solís,Center Defensive Midfield,"[28.8, 35.5]",0.0,"['735aef87-17c7-4c29-90e5-883f5548d142', '740d3423-574b-4968-b438-3f293ecb6202', 'ba47044c-761a-4997-818e-2539e3e490e3']",3943077,779,769,5678,
3992136b-5f95-4270-b301-cdcaca17c1d0,3576,3,00:14:24.958,104,24,Dribbled Past,175,Colombia,Regular Play,Argentina,Leandro Daniel Paredes,Center Defensive Midfield,"[25.6, 18.7]",0.0,"['8464f7d9-c17c-431b-aab7-768178c06088', 'b7b7b9cc-b7fc-4cbc-974d-dd2fbd387e1d', 'd31ef1b3-ca16-415d-9dca-0d53f6b4c3e4']",3943077,769,779,16308,
eb28abe2-37c6-4d42-9b83-d652a8a895ad,3579,3,00:14:26.902,104,26,Dribbled Past,175,Colombia,Regular Play,Argentina,Lisandro Martínez,Left Center Back,"[29.9, 30.8]",0.0,"['54ad0d9e-281d-4cc5-90a2-034158849cee', 'b7b7b9cc-b7fc-4cbc-974d-dd2fbd387e1d', 'c69ed489-9bd0-4da1-ac49-d727ee3dc22b']",3943077,769,779,27768,
7bc8766e-ec42-4058-9390-c3f0f5e550f5,3663,3,00:15:39.598,105,39,Dribbled Past,180,Colombia,Regular Play,Argentina,Leandro Daniel Paredes,Center Defensive Midfield,"[54.8, 37.0]",0.0,"['720649b0-caef-421d-b93c-78832b5d3a33', 'd4c2fb1f-f6c2-41af-b77d-9ada50e76a92', 'dfaadea4-3a1c-4384-803e-e7a181c91635']",3943077,769,779,16308,True
6e05b515-250a-4200-816c-e3ae5b1f1c1a,3670,3,00:15:43.517,105,43,Dribbled Past,180,Colombia,Regular Play,Argentina,Lisandro Martínez,Left Center Back,"[17.4, 22.6]",0.0,"['b966e9e6-a08d-4a91-a1f3-2ad088009533', 'ecd21b70-8bc8-42fb-b9f8-3dfb0078e92b']",3943077,769,779,27768,
21c69e0e-e35a-491f-a6bd-46bcfdbe2915,244,1,00:08:59.971,8,59,Dribbled Past,21,Canada,From Kick Off,Uruguay,Federico Santiago Valverde Dipetta,Left Center Midfield,"[44.6, 42.8]",0.0,"['925e6ab5-5d1c-4ade-92d3-8067c6466928', '9a266a1c-bb63-4bba-94b0-486da86071bf']",3943076,1833,783,6773,
a9e072e4-fc22-419e-8205-960067bb0c90,391,1,00:11:23.423,11,23,Dribbled Past,27,Uruguay,Regular Play,Canada,Jacob Shaffelburg,Left Wing,"[81.3, 5.8]",0.0,"['5d0fba53-1085-4cc5-8ffb-334346268b36', 'a432e6bb-7dc9-47aa-b748-4e6355043c63']",3943076,783,1833,26152,
752297ac-83ab-4f50-9b75-0b20163d76e5,411,1,00:11:52.113,11,52,Dribbled Past,28,Uruguay,From Throw In,Canada,Richie Laryea,Left Back,"[61.8, 3.1]",0.0,"['659daec1-2f76-4142-b2be-f65c012e9d54', 'ce3a4014-0c9f-4af3-a01e-be9d32aeeb90']",3943076,783,1833,16120,
ff51742a-a5a3-4cb8-bf72-473515655148,547,1,00:17:08.656,17,8,Dribbled Past,36,Uruguay,From Free Kick,Canada,Moise Bombito,Left Center Back,"[28.3, 55.0]",0.0,"['3bfdb343-a823-4438-8c16-adfa7fd543a0', 'a1e643ee-08c6-46d3-85a3-456b42f1832a']",3943076,783,1833,383250,
690e467f-eb66-4c37-8dc3-26a27bebb5ae,717,1,00:22:30.380,22,30,Dribbled Past,43,Uruguay,From Kick Off,Canada,Jacob Shaffelburg,Left Wing,"[68.7, 9.6]",0.0,"['6a5dcdad-fa62-4ef7-8977-034f90d64595', 'a1bcb6da-3252-4e91-beab-b6ab7f746b12']",3943076,783,1833,26152,
76d252fc-987c-46e9-bbc7-b0714f05a137,736,1,00:22:53.372,22,53,Dribbled Past,43,Uruguay,From Kick Off,Canada,Ali Ahmed,Right Wing,"[64.8, 76.5]",0.0,"['95afc35f-2329-4673-a30d-52e87e11b373', 'd437106b-5f65-4aed-b5f6-b500be34b69e']",3943076,783,1833,224628,
8059f5eb-d1b8-4d57-b8e0-5524da4a33f0,852,1,00:28:20.683,28,20,Dribbled Past,49,Canada,From Throw In,Uruguay,Manuel Ugarte Ribeiro,Center Defensive Midfield,"[36.4, 60.0]",0.0,"['0d3665d9-16dc-490d-9d7f-5c6b3c5c7b14', 'f507acc6-0753-4685-baad-edeba915ba0e']",3943076,1833,783,36659,
96e9efd4-7830-434e-adea-c296e6732b78,1060,1,00:33:40.437,33,40,Dribbled Past,61,Uruguay,From Keeper,Uruguay,Rodrigo Bentancur Colmán,Right Center Midfield,"[32.8, 53.0]",0.0,"['817254fb-cc7c-4480-8e69-c1e5df27afd2', 'f594a654-2289-4a2d-a02f-99ec8ee987f6']",3943076,783,783,5260,True
32ca56f8-ab64-4a5d-a1e0-ee99b5dad2bf,1705,2,00:06:44.557,51,44,Dribbled Past,100,Canada,From Free Kick,Uruguay,Matías Nicolás Viña Susperreguy,Left Back,"[38.4, 29.4]",0.0,"['2be92584-d7c0-4308-a886-c9b97b7b2e67', '310dd08c-6eeb-438c-93fd-86bbaadaea28', '35c85b9e-5d29-49a2-a95e-b4d36eecf57b']",3943076,1833,783,34476,
51fd6dc6-0aae-41ce-afd7-8f6442ab525d,1911,2,00:13:16.743,58,16,Dribbled Past,117,Canada,Regular Play,Uruguay,José María Giménez de Vargas,Right Center Back,"[21.5, 77.9]",0.0,['02337fdf-fecd-4a71-91c8-a8c361a0af10'],3943076,1833,783,5259,
7e96c068-5129-48a4-8932-254c5d9e1637,2061,2,00:18:35.640,63,35,Dribbled Past,130,Canada,From Free Kick,Uruguay,Nahitan Michel Nández Acosta,Right Back,"[19.9, 77.3]",0.0,"['ae3ddbaf-f353-4ec5-9484-9e489c403242', 'b63bee73-ab20-447f-ab30-8264c110982c']",3943076,1833,783,5247,
57129bc5-0438-4463-9c22-9aad34db746b,2244,2,00:25:05.329,70,5,Dribbled Past,146,Canada,From Keeper,Uruguay,Paul Brian Rodríguez Bravo,Right Wing,"[55.7, 41.3]",0.0,['866f20cb-131a-472c-8755-0ddaee10d632'],3943076,1833,783,30736,
cb7d2262-114d-4ecf-9eea-8144e9fe788a,2268,2,00:27:10.554,72,10,Dribbled Past,149,Canada,From Throw In,Uruguay,Giorgian Daniel De Arrascaeta Benedetti,Left Center Midfield,"[4.7, 15.5]",0.0,"['1ce43ddb-79ce-44fb-810c-201db06f74b0', 'd819e06b-e65b-4aaf-b47a-097e0d37b53b']",3943076,1833,783,5258,
4e4f0b2a-d5d2-4c9e-81c5-7d95f8672615,2380,2,00:31:23.161,76,23,Dribbled Past,158,Canada,Regular Play,Uruguay,Federico Santiago Valverde Dipetta,Right Center Midfield,"[63.5, 44.9]",0.0,"['a1b334c9-ae3e-4318-a9a4-9a904910f715', 'd4b401d7-187c-4383-b496-0013abd13d1b']",3943076,1833,783,6773,True
