id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,duel_outcome,duel_type,possession_team_id,team_id,player_id,counterpress,off_camera
ee385dc9-fc53-45ac-b89d-8ea44d3e92ef,81,1,00:02:06.520,2,6,Duel,6,Argentina,From Throw In,Colombia,Jefferson Andrés Lerma Solís,Center Defensive Midfield,"[5.1, 54.6]",0.0,True,['f4c26662-8ce3-48f8-b8c1-f91f45167b8c'],3943077,Lost Out,Tackle,779,769,5678,,
992c578f-3afa-4a41-b547-c55db5830aac,84,1,00:02:53.904,2,53,Duel,7,Argentina,From Corner,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[116.4, 32.2]",0.0,True,['c48f991a-778a-4203-b2d3-c29b9e7c42fb'],3943077,,Aerial Lost,779,779,5507,,
bd42d645-9618-40d4-a813-988ec8a69e6c,236,1,00:06:10.576,6,10,Duel,14,Colombia,From Throw In,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[10.9, 23.2]",0.0,True,['cbab18fe-61a7-46bb-8e94-e6157b9b5315'],3943077,,Aerial Lost,769,779,5507,,
a8ae8a9a-8407-4c76-b663-93997ee6a513,329,1,00:08:18.595,8,18,Duel,17,Colombia,From Throw In,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[28.2, 8.8]",0.0,True,['1353b5ed-b0da-471f-8a85-2a720ffb889b'],3943077,,Aerial Lost,769,779,5507,,
05c9a767-7bb3-4f7a-bbb1-f1c05a353f48,371,1,00:09:22.824,9,22,Duel,18,Argentina,From Goal Kick,Colombia,Davinson Sánchez Mina,Right Center Back,"[38.5, 51.2]",0.0,True,['01e845f6-332c-4f65-8a44-db7799add65c'],3943077,,Aerial Lost,779,769,3494,,
8afc4f1e-488e-415e-bb64-464cbebe14ec,407,1,00:10:22.258,10,22,Duel,21,Colombia,From Throw In,Colombia,Jhon Andrés Córdoba Copete,Right Center Forward,"[67.0, 8.6]",0.0,True,['85448754-a924-459a-a9a8-ecbbd16ab1ba'],3943077,,Aerial Lost,769,769,8817,,
e5061cfe-def3-4dd6-adf0-b8a59b63d094,473,1,00:12:07.618,12,7,Duel,23,Colombia,From Corner,Argentina,Gonzalo Ariel Montiel,Right Back,"[6.7, 41.4]",0.0,True,['30702c96-5580-48d9-8116-08f6d19be5e7'],3943077,,Aerial Lost,769,779,28263,,
bc77d241-dfc9-43ab-bb1a-25763d83722c,529,1,00:12:58.846,12,58,Duel,26,Colombia,Regular Play,Argentina,Alexis Mac Allister,Left Midfield,"[83.7, 46.9]",0.935744,True,['a884ed74-9acb-40c4-8a23-d51bd575f99d'],3943077,Lost In Play,Tackle,769,779,27886,True,
c491a9bd-d836-4580-9728-ee9ca9fd6242,605,1,00:15:32.445,15,32,Duel,29,Argentina,From Keeper,Colombia,Richard Rios Montoya,Right Center Midfield,"[36.8, 75.0]",0.0,True,['719e3fb6-4782-405e-ac0a-b7877d07f886'],3943077,Lost In Play,Tackle,779,769,49395,,
8aa859ee-5eb6-4709-9eea-886df4f252a5,628,1,00:15:47.918,15,47,Duel,30,Colombia,Regular Play,Argentina,Alexis Mac Allister,Left Midfield,"[72.0, 20.8]",0.0,True,['e6a6d2d6-f06f-4b6a-8d3d-719be9870339'],3943077,Won,Tackle,769,779,27886,,
030ef850-54e8-4472-8058-4734eb30cc6c,775,1,00:18:33.210,18,33,Duel,32,Argentina,Regular Play,Colombia,Jhon Adolfo Arias Andrade,Left Center Midfield,"[73.9, 2.4]",0.0,True,['110982b9-2647-4ebf-83ae-93b99107a731'],3943077,Lost Out,Tackle,779,769,27277,,
acb7774c-bbeb-45aa-9cab-a2f3b32638b3,866,1,00:20:36.652,20,36,Duel,36,Argentina,Regular Play,Colombia,Jhon Adolfo Arias Andrade,Left Center Midfield,"[52.5, 3.9]",0.0,True,['682ff024-cc51-4e83-a387-1e75e15b6dca'],3943077,Lost Out,Tackle,779,769,27277,,
26d5c08c-8dfe-4ac3-865f-715031d2fadb,911,1,00:21:44.225,21,44,Duel,38,Colombia,Regular Play,Colombia,Santiago Arias Naranjo,Right Back,"[54.6, 66.4]",0.0,True,['20704fc5-1074-421b-9341-ff238293ec17'],3943077,Success In Play,Tackle,769,769,5696,True,
c7f8561c-505f-43b9-91e4-52e610de6217,1009,1,00:23:47.611,23,47,Duel,42,Argentina,Regular Play,Argentina,Julián Álvarez,Left Center Forward,"[64.7, 44.9]",0.0,True,['fd4358a6-e077-4a83-8cc0-70c58fa77c70'],3943077,,Aerial Lost,779,779,29560,,
