id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,interception_outcome,possession_team_id,team_id,player_id,counterpress,under_pressure
e82bf9e7-b184-4dfc-9147-05179f073cb4,134,1,00:04:02.291,4,2,Interception,10,Argentina,Regular Play,Argentina,Enzo Fernandez,Left Defensive Midfield,"[37.4, 30.7]",0.0,['01b266ec-8052-4698-9ce1-348fe8eea34d'],3943077,Won,779,779,38718,,
bf413487-03e3-4ad9-9f74-6465ba407d88,526,1,00:12:58.034,12,58,Interception,26,Colombia,Regular Play,Colombia,Richard Rios Montoya,Right Center Midfield,"[34.2, 32.4]",0.0,['5bd3d287-abcd-400e-ac36-6a2a9043b0f7'],3943077,Won,769,769,49395,True,
6df62101-92e4-457b-b289-6307b7a2e140,1214,1,00:30:26.207,30,26,Interception,49,Colombia,From Throw In,Argentina,Cristian Gabriel Romero,Right Center Back,"[28.2, 47.7]",4.055681,['f224c47c-2147-43c5-a4f3-b941f9e2dc22'],3943077,Lost In Play,769,779,20572,,
e77498cc-d0f1-4e69-89e7-abaf73ac3976,1534,1,00:40:12.575,40,12,Interception,61,Colombia,From Throw In,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[19.9, 37.7]",0.0,['70977a84-9c81-4cff-8711-161354ed5a48'],3943077,Lost In Play,769,779,5507,,
8030c442-2ce9-46ee-8d3f-a7199f3b8cfd,1773,1,00:45:50.079,45,50,Interception,70,Argentina,Regular Play,Colombia,Davinson Sánchez Mina,Right Center Back,"[52.9, 45.8]",0.0,['1d278492-d917-4425-9e73-28a3ee767859'],3943077,Lost In Play,779,769,3494,True,
70219254-10ab-4f05-8c9d-413d68934f27,2205,2,00:12:02.975,57,2,Interception,89,Argentina,From Free Kick,Colombia,Carlos Eccehomo Cuesta Figueroa,Left Center Back,"[15.0, 26.4]",0.0,['5d34543a-9971-4b74-ac19-1bc0bd94d047'],3943077,Lost In Play,779,769,28567,,
5fd53b74-691a-4991-8b66-ecc212fb21d5,2354,2,00:17:57.034,62,57,Interception,98,Colombia,Regular Play,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[19.6, 36.9]",0.0,['927a38a2-048d-4b1e-823c-469564f9e5d0'],3943077,Lost In Play,769,779,5507,,
e274cfb7-63b7-4b67-932c-2047d251d818,2730,2,00:34:45.574,79,45,Interception,119,Colombia,Regular Play,Colombia,Johan Andrés Mojica Palacio,Left Back,"[33.9, 20.6]",0.0,['582042b0-822d-4b45-9210-60fd78f5a188'],3943077,Won,769,769,5691,,
0d73a070-7b65-436e-aeaa-b2456c8fd68f,2815,2,00:38:12.498,83,12,Interception,124,Argentina,From Throw In,Colombia,Jefferson Andrés Lerma Solís,Center Defensive Midfield,"[18.3, 10.9]",0.0,['359f1e91-1e58-4628-a72f-1c421720bf1e'],3943077,Lost In Play,779,769,5678,,
9621455f-eece-4ea1-b42a-f9065188777e,2881,2,00:40:08.511,85,8,Interception,128,Argentina,From Keeper,Colombia,Johan Andrés Mojica Palacio,Left Back,"[13.7, 15.9]",0.0,['0989c85d-a024-4b5d-bf09-c2027233e69b'],3943077,Lost Out,779,769,5691,,
26ecf0ca-6825-4435-88ae-f72283d4fd62,3070,2,00:48:00.743,93,0,Interception,140,Argentina,Regular Play,Colombia,Carlos Eccehomo Cuesta Figueroa,Left Center Back,"[17.0, 26.1]",0.0,['83cbefbf-4cd7-4030-b4b0-86e23cafa4b0'],3943077,Success In Play,779,769,28567,,
a6ff5509-63e8-4319-9425-1596ed349a4d,3276,3,00:03:48.110,93,48,Interception,153,Argentina,From Keeper,Argentina,Lisandro Martínez,Left Center Back,"[33.0, 35.7]",0.0,['bcad398d-0dae-4e0c-aa04-e6b31c8b61d6'],3943077,Success In Play,779,779,27768,True,
d5941682-7c9c-4ca2-bc95-b85a3df2c2c6,3435,3,00:09:45.949,99,45,Interception,164,Colombia,From Keeper,Argentina,Cristian Gabriel Romero,Right Center Back,"[51.4, 38.7]",0.0,['3ba4c18c-b04a-4b1d-b885-20580b598a2f'],3943077,Success In Play,769,779,20572,,
