id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,possession_team_id,team_id,player_id,counterpress,off_camera,under_pressure,x,y
3e050801-c2a7-43f9-9f60-fb3681c75d64,23,1,00:00:22.048,0,22,Pressure,2,Argentina,From Kick Off,Colombia,James David Rodríguez Rubio,Center Attacking Midfield,"[92.3, 36.1]",1.097451,"['ca653244-2893-412c-a1ad-9d8951dea711', 'efc9b92a-2a91-46b3-b425-e3836c4a3f37']",3943077,779,769,5695,,,,92.3,36.1
40588704-e324-4f42-b5ed-c50c3979791c,30,1,00:00:29.266,0,29,Pressure,2,Argentina,From Kick Off,Colombia,Jefferson Andrés Lerma Solís,Center Defensive Midfield,"[47.9, 25.5]",1.283472,['c712cc2f-44fa-4a02-9f10-24937433eade'],3943077,779,769,5678,,,,47.9,25.5
61b23820-a966-4781-8f1e-96a64ed80e4a,31,1,00:00:30.550,0,30,Pressure,2,Argentina,From Kick Off,Colombia,Jhon Adolfo Arias Andrade,Left Center Midfield,"[48.1, 20.7]",1.113556,,3943077,779,769,27277,,,,48.1,20.7
dbe7ae66-6028-4caf-b16b-cf68e9e1fd45,53,1,00:01:25.362,1,25,Pressure,4,Colombia,From Throw In,Argentina,Ángel Fabián Di María Hernández,Right Midfield,"[100.7, 77.3]",0.720997,"['b8ce70d0-ed41-42e2-9c3e-fcb7217faf0e', 'cbce39b6-4fc2-4247-aa17-09d9896387cf']",3943077,769,779,2995,,,,100.7,77.3
6f3563b8-77d8-4d85-a5d1-56dd26f72482,61,1,00:01:42.081,1,42,Pressure,5,Argentina,Regular Play,Colombia,Jhon Andrés Córdoba Copete,Right Center Forward,"[53.0, 69.5]",0.844296,"['84c5b355-7f3e-4c89-928a-a914ade97648', 'e0b7df4c-7ee5-4047-ad9d-7744f98b2da4']",3943077,779,769,8817,,,,53.0,69.5
5f1f5945-33f0-4943-b504-dc99e25eb0dc,73,1,00:02:03.619,2,3,Pressure,6,Argentina,From Throw In,Colombia,Santiago Arias Naranjo,Right Back,"[8.5, 66.4]",0.716935,"['9eabde45-32eb-4ce7-96ba-0f750df4b904', 'afc25e3f-fa4b-40f7-b942-de796f9b2285', 'b6473715-c67b-48b6-ae0d-142a2adc5b6f', 'fa324dd5-7153-4150-a90a-71dce5a24d12']",3943077,779,769,5696,,,,8.5,66.4
75830234-e54d-43b8-a5c6-aea806e68092,79,1,00:02:05.940,2,5,Pressure,6,Argentina,From Throw In,Colombia,Jefferson Andrés Lerma Solís,Center Defensive Midfield,"[5.3, 55.6]",0.448302,['fa324dd5-7153-4150-a90a-71dce5a24d12'],3943077,779,769,5678,,,,5.3,55.6
cd0e1a13-6536-4355-a90f-072de317da72,99,1,00:03:30.846,3,30,Pressure,9,Colombia,From Goal Kick,Argentina,Ángel Fabián Di María Hernández,Right Midfield,"[92.9, 76.1]",0.702659,"['2152a846-cf08-495a-8fd0-7ff8b7e26895', '44b1c215-cdf7-4f02-8fd7-413fe3b57d45']",3943077,769,779,2995,,,,92.9,76.1
e5568efd-144c-481e-b353-245ab287c1fc,109,1,00:03:38.537,3,38,Pressure,9,Colombia,From Goal Kick,Colombia,Richard Rios Montoya,Right Center Midfield,"[55.2, 30.4]",0.577256,['f2e55300-2820-4014-a182-320d26658aa3'],3943077,769,769,49395,,,,55.2,30.4
47ac6a2a-8cde-4da9-a4e1-2d030e13e402,143,1,00:04:07.596,4,7,Pressure,10,Argentina,Regular Play,Colombia,Jhon Andrés Córdoba Copete,Right Center Forward,"[107.2, 39.7]",1.654689,"['53828c61-e956-4765-b434-1469c7a085a6', 'c85d4d0d-2e60-4f89-91a3-63f6a19cedf7', 'efee20bf-a5e2-4166-b647-b4a4f0a6782e']",3943077,779,769,8817,,,,107.2,39.7
5cc855a7-669f-4746-957c-b6c68282f1ad,149,1,00:04:11.501,4,11,Pressure,10,Argentina,Regular Play,Colombia,Luis Fernando Díaz Marulanda,Left Center Forward,"[101.5, 4.8]",0.472048,"['2f1a71a2-791a-4876-ab92-89f43c0794e2', 'ee868f0e-8e13-4647-9ae0-fb3910f62d6b']",3943077,779,769,27158,,,,101.5,4.8
069bb7bb-7741-4ae2-8732-0cda0080aeeb,155,1,00:04:16.923,4,16,Pressure,10,Argentina,Regular Play,Argentina,Enzo Fernandez,Left Defensive Midfield,"[19.3, 40.4]",1.292566,"['2564fdf6-b52e-4a96-9604-4930996a45aa', 'fac5eca3-a8d0-4b0c-9d95-3fff0876fb22']",3943077,779,779,38718,True,,,19.3,40.4
a690bb23-6bf0-4514-bb21-71798ec5083c,159,1,00:04:22.060,4,22,Pressure,10,Argentina,Regular Play,Colombia,Jhon Adolfo Arias Andrade,Left Center Midfield,"[71.3, 30.2]",1.530628,"['3ac441e1-ca05-454c-88f2-1dcf20fda2b2', 'dccae78a-95e3-4f02-ae3e-d11148a298c9']",3943077,779,769,27277,,,,71.3,30.2
8d60114e-9fe4-4309-9693-74bd16660e4a,162,1,00:04:24.562,4,24,Pressure,10,Argentina,Regular Play,Colombia,Jhon Adolfo Arias Andrade,Left Center Midfield,"[59.7, 24.4]",1.4698,['dccae78a-95e3-4f02-ae3e-d11148a298c9'],3943077,779,769,27277,,,,59.7,24.4
f4491cc6-14bf-4a21-aa8f-47b69d12c402,177,1,00:04:49.077,4,49,Pressure,11,Colombia,From Keeper,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[63.5, 20.6]",1.855953,['b6ccfac3-4603-4570-a910-fbd077a97286'],3943077,769,779,5507,,,,63.5,20.6
46d714ab-3053-43d3-8fd4-5d15c5b8cca2,178,1,00:04:51.219,4,51,Pressure,11,Colombia,From Keeper,Argentina,Enzo Fernandez,Left Defensive Midfield,"[53.1, 29.6]",0.447398,['0f75d90d-d5ec-4313-a2af-1802b8daf15c'],3943077,769,779,38718,,,,53.1,29.6
b7c95693-4e03-46a6-8d77-adf41fc8ab68,189,1,00:05:22.596,5,22,Pressure,13,Argentina,From Keeper,Colombia,James David Rodríguez Rubio,Center Attacking Midfield,"[103.1, 41.2]",0.976996,['986a53c0-a36d-4351-b776-c94dc424871d'],3943077,779,769,5695,,,,103.1,41.2
